
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-03 11:28:52 / .................................................................................. ~ 516.12ms
  2026-04-03 11:29:06 /api/me ............................................................................ ~ 501.95ms
  2026-04-03 11:29:06 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:06 /api/me .................................................................................. ~ 1s
  2026-04-03 11:29:07 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:07 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 11:29:08 /api/plots/1/calendars ............................................................. ~ 505.42ms
  2026-04-03 11:29:08 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:09 /api/me .................................................................................. ~ 1s
  2026-04-03 11:29:10 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:10 /api/plots/1 ....................................................................... ~ 520.89ms
  2026-04-03 11:29:10 /api/plots/1/calendars ............................................................. ~ 507.45ms
  2026-04-03 11:29:11 /api/inventory ........................................................................... ~ 1s
  2026-04-03 11:29:11 /api/me .................................................................................. ~ 1s
  2026-04-03 11:29:12 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:12 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:13 /api/inventory ........................................................................... ~ 1s
  2026-04-03 11:29:13 /api/me .................................................................................. ~ 1s
  2026-04-03 11:29:14 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:14 /api/inventory ........................................................................... ~ 1s
  2026-04-03 11:29:15 /api/me ............................................................................ ~ 516.24ms
  2026-04-03 11:29:15 /api/plots ......................................................................... ~ 512.53ms
  2026-04-03 11:29:16 /api/inventory ........................................................................... ~ 1s
  2026-04-03 11:29:16 /api/me .................................................................................. ~ 1s
  2026-04-03 11:29:16 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:29:17 /api/inventory ..................................................................... ~ 507.35ms
  2026-04-03 11:29:17 /api/me ............................................................................ ~ 511.96ms
  2026-04-03 11:29:22 /api/plots ......................................................................... ~ 508.23ms
  2026-04-03 11:29:22 /api/community ..................................................................... ~ 509.66ms
  2026-04-03 11:29:23 /api/plots ......................................................................... ~ 501.62ms
  2026-04-03 11:29:23 /api/community ........................................................................... ~ 1s
  2026-04-03 11:29:31 /api/plots ......................................................................... ~ 518.56ms
  2026-04-03 11:29:32 /api/plots ......................................................................... ~ 499.41ms
  2026-04-03 11:29:38 /api/plots ......................................................................... ~ 514.87ms
  2026-04-03 11:29:39 /api/plots ......................................................................... ~ 506.02ms
  2026-04-03 11:29:39 /api/plots/1 ......................................................................... ~ 0.06ms
  2026-04-03 11:29:39 /api/plots/1/plants ................................................................ ~ 505.79ms
  2026-04-03 11:29:39 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:29:40 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:29:40 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:29:41 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 11:29:41 /api/plots/1/plants ................................................................ ~ 509.47ms
  2026-04-03 11:29:42 /api/plots/1/plant-zones ........................................................... ~ 500.07ms
  2026-04-03 11:29:42 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:29:42 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:30:19 /api/plots/1 ....................................................................... ~ 501.11ms
  2026-04-03 11:30:19 /api/plots/1/plants ................................................................ ~ 509.58ms
  2026-04-03 11:30:19 /api/plots/1/harvests .................................................................... ~ 1s
  2026-04-03 11:30:20 /api/plots/1 ....................................................................... ~ 507.32ms
  2026-04-03 11:30:20 /api/plots/1/plants ................................................................ ~ 504.22ms
  2026-04-03 11:30:20 /api/plots/1/harvests .................................................................... ~ 1s
  2026-04-03 11:30:36 /api/plots ......................................................................... ~ 502.39ms
  2026-04-03 11:30:37 /api/inventory ..................................................................... ~ 501.37ms
  2026-04-03 11:30:37 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:30:38 /api/inventory ....................................................................... ~ 0.05ms
  2026-04-03 11:33:03 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:33:03 /api/plots ......................................................................... ~ 511.39ms
  2026-04-03 11:33:04 /api/plots/1 ....................................................................... ~ 498.19ms
  2026-04-03 11:33:04 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:33:04 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 11:33:05 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:33:05 /api/plots/1/access ................................................................ ~ 500.54ms
  2026-04-03 11:33:06 /api/plots/1 ....................................................................... ~ 501.89ms
  2026-04-03 11:33:06 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:33:07 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 11:33:07 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:33:07 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:33:14 /api/plots/1/rotations/recommendations ............................................. ~ 500.27ms
  2026-04-03 11:33:28 /api/plots/1/rotations/recommendations ............................................. ~ 502.46ms
  2026-04-03 11:33:55 /api/plots/1/plant-zones ........................................................... ~ 503.60ms
  2026-04-03 11:34:00 /api/plots/1/plant-zones/3 ......................................................... ~ 502.34ms
  2026-04-03 11:34:01 /api/plots/1/plant-zones/3 ........................................................... ~ 0.12ms
  2026-04-03 11:34:03 /api/plots/1/plant-zones/3 ......................................................... ~ 507.20ms
  2026-04-03 11:34:04 /api/plots/1/plant-zones/3 ......................................................... ~ 505.17ms
  2026-04-03 11:34:06 /api/plots/1/plant-zones/3 ......................................................... ~ 503.10ms
  2026-04-03 11:34:09 /api/plots/1/plant-zones/3 ......................................................... ~ 504.54ms
  2026-04-03 11:34:20 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 11:34:22 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 11:34:22 /api/plants/search ....................................................................... ~ 4s
  2026-04-03 11:34:24 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 11:34:26 /api/plants/search ....................................................................... ~ 4s
  2026-04-03 11:34:28 /api/plants/search ....................................................................... ~ 5s
  2026-04-03 11:34:31 /api/plants/search ....................................................................... ~ 4s
  2026-04-03 11:34:39 /api/plants/search ................................................................... ~ 0.46ms
  2026-04-03 11:34:44 /api/plots/1/plants ...................................................................... ~ 2s
  2026-04-03 11:34:47 /api/plants/search ....................................................................... ~ 1s
  2026-04-03 11:34:57 /api/plots/1/rotations/recommendations ............................................. ~ 507.59ms
  2026-04-03 11:34:59 /api/plots/1/rotations/recommendations ............................................. ~ 512.23ms
  2026-04-03 11:35:16 /api/plots/1/rotations/recommendations ............................................. ~ 501.44ms
  2026-04-03 11:35:46 /api/plots ......................................................................... ~ 516.65ms
  2026-04-03 11:35:47 /api/plots ......................................................................... ~ 511.44ms
  2026-04-03 11:35:47 /api/plots/1/plants/3 .............................................................. ~ 511.43ms
  2026-04-03 11:35:47 /api/plots/1/plants/3/conditions ......................................................... ~ 1s
  2026-04-03 11:35:48 /api/plots/1/rotations ............................................................. ~ 516.10ms
  2026-04-03 11:35:48 /api/plots/1/plant-zones ........................................................... ~ 505.36ms
  2026-04-03 11:35:48 /api/plots/1/plants/3 .................................................................... ~ 1s
  2026-04-03 11:35:49 /api/plots/1/plants/3/conditions ......................................................... ~ 1s
  2026-04-03 11:35:49 /api/plots/1/rotations ............................................................. ~ 510.58ms
  2026-04-03 11:35:50 /api/plots/1/plant-zones ........................................................... ~ 501.63ms
  2026-04-03 11:36:22 /api/plots ......................................................................... ~ 502.44ms
  2026-04-03 11:36:22 /api/plots ......................................................................... ~ 511.92ms
  2026-04-03 11:36:23 /api/plots/1 ....................................................................... ~ 499.93ms
  2026-04-03 11:36:23 /api/plots/1/plants ................................................................ ~ 504.04ms
  2026-04-03 11:36:23 /api/plots/1/plant-zones ........................................................... ~ 508.31ms
  2026-04-03 11:36:24 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:36:24 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:36:24 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 11:36:25 /api/plots/1/plants ................................................................ ~ 509.51ms
  2026-04-03 11:36:25 /api/plots/1/plant-zones ........................................................... ~ 499.94ms
  2026-04-03 11:36:26 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:36:26 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:36:32 /api/plots ......................................................................... ~ 514.35ms
  2026-04-03 11:36:32 /api/plots ......................................................................... ~ 495.92ms
  2026-04-03 11:36:33 /api/plots/1/plants/2 .............................................................. ~ 497.02ms
  2026-04-03 11:36:33 /api/plots/1/plants/2/conditions ................................................... ~ 500.17ms
  2026-04-03 11:36:33 /api/plots/1/rotations ............................................................. ~ 510.49ms
  2026-04-03 11:36:34 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:36:34 /api/plots/1/plants/2 .............................................................. ~ 512.47ms
  2026-04-03 11:36:34 /api/plots/1/plants/2/conditions ................................................... ~ 503.27ms
  2026-04-03 11:36:35 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:36:35 /api/plots/1/plant-zones ........................................................... ~ 507.03ms
  2026-04-03 11:36:56 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:36:56 /api/plots ........................................................................... ~ 0.07ms
  2026-04-03 11:36:56 /api/plots/1 ....................................................................... ~ 508.80ms
  2026-04-03 11:36:56 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:36:57 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 11:36:57 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:36:58 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:36:58 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 11:36:59 /api/plots/1/plant-zones ........................................................... ~ 513.62ms
