
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-03 10:26:56 / ........................................................................................ ~ 1s
  2026-04-03 10:27:45 /api/plots ............................................................................... ~ 1s
  2026-04-03 10:27:45 /api/inventory ........................................................................... ~ 1s
  2026-04-03 10:27:45 /api/me .................................................................................. ~ 1s
  2026-04-03 10:27:47 /api/plots ......................................................................... ~ 507.67ms
  2026-04-03 10:27:47 /api/inventory ........................................................................... ~ 1s
  2026-04-03 10:27:47 /api/me ............................................................................ ~ 505.04ms
  2026-04-03 10:27:56 /api/community ........................................................................... ~ 2s
  2026-04-03 10:27:58 /api/community ..................................................................... ~ 507.83ms
  2026-04-03 10:28:03 /api/login ......................................................................... ~ 508.75ms
  2026-04-03 10:28:40 /api/register ............................................................................ ~ 1s
  2026-04-03 10:28:41 /api/me ............................................................................ ~ 495.66ms
  2026-04-03 10:28:41 /api/plots ......................................................................... ~ 507.69ms
  2026-04-03 10:28:41 /api/inventory ..................................................................... ~ 511.49ms
  2026-04-03 10:28:42 /api/plots ......................................................................... ~ 503.98ms
  2026-04-03 10:28:42 /api/inventory ..................................................................... ~ 501.17ms
  2026-04-03 10:28:48 /api/inventory ....................................................................... ~ 1.52ms
  2026-04-03 10:28:48 /api/inventory ..................................................................... ~ 511.55ms
  2026-04-03 10:28:52 /api/plots ......................................................................... ~ 511.38ms
  2026-04-03 10:28:53 /api/inventory ..................................................................... ~ 507.02ms
  2026-04-03 10:28:53 /api/plots ......................................................................... ~ 498.98ms
  2026-04-03 10:28:54 /api/inventory ....................................................................... ~ 0.38ms
  2026-04-03 10:28:55 /api/plots ......................................................................... ~ 516.37ms
  2026-04-03 10:28:56 /api/plots ......................................................................... ~ 503.94ms
  2026-04-03 10:29:21 /api/plots ......................................................................... ~ 505.41ms
  2026-04-03 10:29:25 /api/plots ......................................................................... ~ 515.13ms
  2026-04-03 10:29:25 /api/plots ......................................................................... ~ 520.59ms
  2026-04-03 10:29:25 /api/plots/1 ....................................................................... ~ 506.80ms
  2026-04-03 10:29:25 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 10:29:26 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 10:29:26 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 10:29:27 /api/plots/1/access ................................................................ ~ 517.45ms
  2026-04-03 10:29:27 /api/plots/1 ....................................................................... ~ 509.43ms
  2026-04-03 10:29:28 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 10:29:28 /api/plots/1/plants ...................................................................... ~ 1s
