
   INFO  Server running on [http://127.0.0.1:8123].  

  Press Ctrl+C to stop the server

  2026-04-03 13:07:40 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 13:10:09 /api/register ...................................................................... ~ 509.88ms
  2026-04-03 13:10:10 /api/plots ......................................................................... ~ 511.95ms
  2026-04-03 13:10:10 /api/plots/2/plant-zones ........................................................... ~ 495.67ms
  2026-04-03 13:10:27 /api/register ...................................................................... ~ 508.10ms
  2026-04-03 13:10:27 /api/plots ......................................................................... ~ 498.62ms
  2026-04-03 13:10:28 /api/plots/3/plant-zones ............................................................. ~ 0.42ms
  2026-04-03 13:10:28 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 13:10:33 /api/plots/3/plants ...................................................................... ~ 2s
  2026-04-03 13:10:36 /api/plots/3/plants/4 .............................................................. ~ 504.88ms
  2026-04-03 13:10:37 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 13:10:41 /api/plots/3/plants ...................................................................... ~ 3s
  2026-04-03 13:10:45 /api/plots/3/plants/5 .............................................................. ~ 503.97ms
  2026-04-03 13:10:46 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 13:10:52 /api/plots/3/plants ...................................................................... ~ 2s
  2026-04-03 13:10:54 /api/plots/3/plants/6 .............................................................. ~ 511.25ms
  2026-04-03 13:10:55 /api/plants/search ....................................................................... ~ 1s
  2026-04-03 13:11:00 /api/plots/3/plants ...................................................................... ~ 4s
  2026-04-03 13:11:05 /api/plots/3/plants/7 .............................................................. ~ 507.50ms
  2026-04-03 13:11:05 /api/plants/search ....................................................................... ~ 1s
  2026-04-03 13:11:13 /api/plots/3/plants ...................................................................... ~ 3s
  2026-04-03 13:11:16 /api/plots/3/plants/8 .............................................................. ~ 509.55ms
  2026-04-03 13:17:09 /api/register ...................................................................... ~ 508.99ms
  2026-04-03 13:17:10 /api/plots ......................................................................... ~ 507.68ms
  2026-04-03 13:17:10 /api/plots/4/plant-zones ........................................................... ~ 505.57ms
  2026-04-03 13:17:11 /api/plots/4/plants ...................................................................... ~ 2s
  2026-04-03 13:17:31 /api/register ............................................................................ ~ 1s
  2026-04-03 13:17:32 /api/plots ......................................................................... ~ 500.63ms
  2026-04-03 13:17:32 /api/plots/5/plant-zones ........................................................... ~ 541.72ms
  2026-04-03 13:17:33 /api/plants/search ....................................................................... ~ 1s
  2026-04-03 13:17:39 /api/plots/5/plants ................................................................ ~ 513.39ms
  2026-04-03 13:17:39 /api/plots/5/plants/10 ............................................................. ~ 502.53ms
  2026-04-03 13:17:40 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 13:17:45 /api/plots/5/plants ................................................................ ~ 511.98ms
  2026-04-03 13:17:46 /api/plots/5/plants/11 ............................................................. ~ 504.48ms
  2026-04-03 13:17:46 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 13:17:53 /api/plots/5/plants ...................................................................... ~ 1s
  2026-04-03 13:17:54 /api/plots/5/plants/12 ............................................................... ~ 0.36ms
  2026-04-03 13:17:54 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 13:18:00 /api/plots/5/plants ................................................................ ~ 514.67ms
  2026-04-03 13:18:01 /api/plots/5/plants/13 ............................................................. ~ 497.20ms
  2026-04-03 13:18:01 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 13:18:09 /api/plots/5/plants ................................................................ ~ 508.94ms
  2026-04-03 13:18:10 /api/plots/5/plants/14 ............................................................. ~ 506.37ms
